timestamp,node_id,event_type,details,energy_level,rssi,gateway_id
0,0,INIT,"SF = 7, Pos = (468, 478)",100000.00,,
0,1,INIT,"SF = 8, Pos = (254, 452)",100000.00,,
0,2,INIT,"SF = 12, Pos = (863, 261)",100000.00,,
0,3,INIT,"SF = 9, Pos = (933, 183)",100000.00,,
0,4,INIT,"SF = 10, Pos = (91, 264)",100000.00,,
0,5,INIT,"SF = 7, Pos = (999, 684)",100000.00,,
0,6,INIT,"SF = 9, Pos = (428, 870)",100000.00,,
0,7,INIT,"SF = 11, Pos = (791, 410)",100000.00,,
0,8,INIT,"SF = 10, Pos = (394, 240)",100000.00,,
0,9,INIT,"SF = 7, Pos = (824, 303)",100000.00,,
0,10,INIT,"SF = 9, Pos = (688, 362)",100000.00,,
0,11,INIT,"SF = 12, Pos = (64, 750)",100000.00,,
0,12,INIT,"SF = 12, Pos = (347, 456)",100000.00,,
0,13,INIT,"SF = 11, Pos = (322, 673)",100000.00,,
0,14,INIT,"SF = 7, Pos = (797, 510)",100000.00,,
0,15,INIT,"SF = 8, Pos = (998, 309)",100000.00,,
0,16,INIT,"SF = 12, Pos = (589, 732)",100000.00,,
0,17,INIT,"SF = 10, Pos = (797, 774)",100000.00,,
0,18,INIT,"SF = 12, Pos = (674, 624)",100000.00,,
0,19,INIT,"SF = 7, Pos = (312, 701)",100000.00,,
0,20,INIT,"SF = 7, Pos = (433, 724)",100000.00,,
0,21,INIT,"SF = 11, Pos = (496, 337)",100000.00,,
0,22,INIT,"SF = 7, Pos = (713, 658)",100000.00,,
0,23,INIT,"SF = 8, Pos = (160, 381)",100000.00,,
0,24,INIT,"SF = 12, Pos = (165, 96)",100000.00,,
0,25,INIT,"SF = 10, Pos = (663, 771)",100000.00,,
0,26,INIT,"SF = 8, Pos = (294, 511)",100000.00,,
0,27,INIT,"SF = 10, Pos = (766, 565)",100000.00,,
0,28,INIT,"SF = 9, Pos = (266, 184)",100000.00,,
0,29,INIT,"SF = 10, Pos = (99, 950)",100000.00,,
0,30,INIT,"SF = 9, Pos = (884, 76)",100000.00,,
0,31,INIT,"SF = 12, Pos = (586, 312)",100000.00,,
0,32,INIT,"SF = 12, Pos = (409, 359)",100000.00,,
0,33,INIT,"SF = 11, Pos = (701, 444)",100000.00,,
0,34,INIT,"SF = 9, Pos = (248, 190)",100000.00,,
0,35,INIT,"SF = 12, Pos = (377, 931)",100000.00,,
0,36,INIT,"SF = 12, Pos = (522, 907)",100000.00,,
0,37,INIT,"SF = 11, Pos = (537, 525)",100000.00,,
0,38,INIT,"SF = 10, Pos = (193, 740)",100000.00,,
0,39,INIT,"SF = 9, Pos = (535, 371)",100000.00,,
0,40,INIT,"SF = 8, Pos = (802, 514)",100000.00,,
0,41,INIT,"SF = 8, Pos = (667, 341)",100000.00,,
0,42,INIT,"SF = 7, Pos = (214, 50)",100000.00,,
0,43,INIT,"SF = 7, Pos = (811, 386)",100000.00,,
0,44,INIT,"SF = 7, Pos = (104, 46)",100000.00,,
0,45,INIT,"SF = 10, Pos = (542, 109)",100000.00,,
0,46,INIT,"SF = 9, Pos = (148, 118)",100000.00,,
0,47,INIT,"SF = 7, Pos = (438, 10)",100000.00,,
0,48,INIT,"SF = 10, Pos = (656, 992)",100000.00,,
0,49,INIT,"SF = 10, Pos = (886, 985)",100000.00,,
0,50,INIT,"SF = 8, Pos = (116, 906)",100000.00,,
0,51,INIT,"SF = 11, Pos = (828, 677)",100000.00,,
0,52,INIT,"SF = 7, Pos = (531, 298)",100000.00,,
0,53,INIT,"SF = 10, Pos = (909, 846)",100000.00,,
0,54,INIT,"SF = 12, Pos = (347, 297)",100000.00,,
0,55,INIT,"SF = 12, Pos = (7, 760)",100000.00,,
0,56,INIT,"SF = 8, Pos = (173, 667)",100000.00,,
0,57,INIT,"SF = 7, Pos = (605, 626)",100000.00,,
0,58,INIT,"SF = 11, Pos = (505, 974)",100000.00,,
0,59,INIT,"SF = 12, Pos = (899, 730)",100000.00,,
0,60,INIT,"SF = 8, Pos = (364, 828)",100000.00,,
0,61,INIT,"SF = 10, Pos = (410, 791)",100000.00,,
0,62,INIT,"SF = 12, Pos = (688, 266)",100000.00,,
0,63,INIT,"SF = 8, Pos = (657, 652)",100000.00,,
0,64,INIT,"SF = 7, Pos = (357, 595)",100000.00,,
0,65,INIT,"SF = 9, Pos = (755, 577)",100000.00,,
0,66,INIT,"SF = 11, Pos = (48, 393)",100000.00,,
0,67,INIT,"SF = 11, Pos = (905, 98)",100000.00,,
0,68,INIT,"SF = 7, Pos = (653, 237)",100000.00,,
0,69,INIT,"SF = 7, Pos = (470, 54)",100000.00,,
0,70,INIT,"SF = 8, Pos = (773, 927)",100000.00,,
0,71,INIT,"SF = 12, Pos = (773, 739)",100000.00,,
0,72,INIT,"SF = 9, Pos = (928, 656)",100000.00,,
0,73,INIT,"SF = 11, Pos = (384, 399)",100000.00,,
0,74,INIT,"SF = 10, Pos = (470, 90)",100000.00,,
0,75,INIT,"SF = 8, Pos = (108, 209)",100000.00,,
0,76,INIT,"SF = 10, Pos = (421, 37)",100000.00,,
0,77,INIT,"SF = 12, Pos = (1000, 150)",100000.00,,
0,78,INIT,"SF = 7, Pos = (245, 709)",100000.00,,
0,79,INIT,"SF = 11, Pos = (965, 746)",100000.00,,
0,80,INIT,"SF = 9, Pos = (226, 495)",100000.00,,
0,81,INIT,"SF = 9, Pos = (439, 742)",100000.00,,
0,82,INIT,"SF = 8, Pos = (632, 200)",100000.00,,
0,83,INIT,"SF = 7, Pos = (932, 530)",100000.00,,
0,84,INIT,"SF = 11, Pos = (992, 831)",100000.00,,
0,85,INIT,"SF = 10, Pos = (151, 729)",100000.00,,
0,86,INIT,"SF = 12, Pos = (753, 796)",100000.00,,
0,87,INIT,"SF = 8, Pos = (641, 429)",100000.00,,
0,88,INIT,"SF = 10, Pos = (379, 472)",100000.00,,
0,89,INIT,"SF = 10, Pos = (860, 487)",100000.00,,
0,90,INIT,"SF = 11, Pos = (215, 878)",100000.00,,
0,91,INIT,"SF = 7, Pos = (333, 405)",100000.00,,
0,92,INIT,"SF = 12, Pos = (844, 8)",100000.00,,
0,93,INIT,"SF = 11, Pos = (666, 946)",100000.00,,
0,94,INIT,"SF = 7, Pos = (492, 618)",100000.00,,
0,95,INIT,"SF = 8, Pos = (210, 92)",100000.00,,
0,96,INIT,"SF = 8, Pos = (491, 402)",100000.00,,
0,97,INIT,"SF = 12, Pos = (297, 642)",100000.00,,
0,98,INIT,"SF = 9, Pos = (240, 993)",100000.00,,
0,99,INIT,"SF = 11, Pos = (24, 927)",100000.00,,
2,21,WAKE_UP,,99447.00,,
2,21,DECISION,Gửi lần đầu.,99447.00,,
2,21,SENSE,"Đo được (20.48306269143311, 22.930889051851576, 17.47312705331939)",99447.00,,
2,21,TX,Truyền trên kênh 0 SF11,99447.00,,
2,21,TRANSMIT_SUCCESS,"Dữ liệu; (20.48306269143311, 22.930889051851576, 17.47312705331939)",99447.00,-86.41,0
2,85,WAKE_UP,,99447.00,,
2,85,DECISION,Gửi lần đầu.,99447.00,,
2,85,SENSE,"Đo được (31.86506807068341, 14.820597713887562, 22.19352483753878)",99447.00,,
2,85,TX,Truyền trên kênh 0 SF10,99447.00,,
2,85,TRANSMIT_SUCCESS,"Dữ liệu; (31.86506807068341, 14.820597713887562, 22.19352483753878)",99447.00,-76.13,1
3,1,WAKE_UP,,99446.00,,
3,1,DECISION,Gửi lần đầu.,99446.00,,
3,1,SENSE,"Đo được (6.938137304773518, 25.089103702732764, 28.7781903736453)",99446.00,,
3,1,TX,Truyền trên kênh 0 SF8,99446.00,,
3,1,TRANSMIT_SUCCESS,"Dữ liệu; (6.938137304773518, 25.089103702732764, 28.7781903736453)",99446.00,-83.64,0
3,40,WAKE_UP,,99446.00,,
3,40,DECISION,Gửi lần đầu.,99446.00,,
3,40,SENSE,"Đo được (17.65205526098288, 33.2991966450417, 45.24891336910694)",99446.00,,
3,40,TX,Truyền trên kênh 0 SF8,99446.00,,
3,40,COLLISION,Xung đột trên kênh 0/SF8,99446.00,,
3,96,WAKE_UP,,99446.00,,
3,96,DECISION,Gửi lần đầu.,99446.00,,
3,96,SENSE,"Đo được (2.0122285860288747, 34.98710447453796, 12.4621111281112)",99446.00,,
3,96,TX,Truyền trên kênh 0 SF8,99446.00,,
3,96,COLLISION,Xung đột trên kênh 0/SF8,99446.00,,
4,84,WAKE_UP,,99445.00,,
4,84,DECISION,Gửi lần đầu.,99445.00,,
4,84,SENSE,"Đo được (34.66525202840845, 36.08018849069781, 15.608497677106492)",99445.00,,
4,84,TX,Truyền trên kênh 0 SF11,99445.00,,
4,84,TRANSMIT_SUCCESS,"Dữ liệu; (34.66525202840845, 36.08018849069781, 15.608497677106492)",99445.00,-86.17,3
5,10,WAKE_UP,,99444.00,,
5,10,DECISION,Gửi lần đầu.,99444.00,,
5,10,SENSE,"Đo được (2.2062253827071943, 98.45979116653936, 12.429879005995462)",99444.00,,
5,10,TX,Truyền trên kênh 0 SF9,99444.00,,
